代號,名稱,收盤價,月平均價
2461,光群雷,12.5,12.34,
2462,良得電,26.45,26.22,
2464,盟立,41.55,40.29,
2465,麗臺,10.0,10.5,
2466,冠西電,30.0,29.84,
2467,志聖,25.2,25.23,
2468,華經,11.2,12.04,
2471,資通,14.35,14.37,
2472,立隆電,42.0,43.66,
2474,可成,241.0,265.18,
2475,華映,1.32,1.38,
2476,鉅祥,23.45,23.34,
2477,美隆電,20.0,20.3,
2478,大毅,50.8,50.46,
2480,敦陽科,37.5,37.55,
2481,強茂,23.45,24.71,
2482,連宇,11.6,11.53,
2483,百容,17.45,17.55,
2484,希華,16.55,16.54,
2485,兆赫,16.0,17.12,
2486,一詮,8.96,9.0,
2488,漢平,29.2,31.02,
2489,瑞軒,11.7,11.97,
2491,吉祥全,4.87,4.9,
2492,華新科,162.0,158.91,
2493,揚博,24.45,24.16,
2495,普安,11.3,11.09,
2496,卓越,79.1,80.11,
2497,怡利電,13.6,13.33,
2498,宏達電,41.9,40.11,
2499,東貝,8.88,8.73,
2501,國建,19.3,19.45,
2504,國產,8.37,8.35,
2505,國揚,12.1,11.71,
2506,太設,11.3,11.44,
2509,全坤建,27.95,28.77,
2511,太子,10.25,10.22,
2514,龍邦,16.9,15.72,
2515,中工,7.26,7.14,
2516,新建,6.37,6.31,
2520,冠德,17.75,17.32,
2524,京城,22.85,20.27,
2527,宏璟,22.35,24.32,
2528,皇普,13.9,13.82,
2530,華建,15.8,15.88,
2534,宏盛,26.65,26.73,
2535,達欣工,19.3,19.18,
2536,宏普,19.5,19.81,
2537,聯上發,6.4,6.37,
2538,基泰,12.55,12.41,
2539,櫻花建,27.15,27.19,
2540,愛山林,23.4,23.82,
2542,興富發,45.9,46.27,
2543,皇昌,7.89,7.9,
2545,皇翔,23.45,24.31,
2546,根基,25.15,24.58,
2547,日勝生,15.9,15.91,
2548,華固,65.5,65.06,
2597,潤弘,44.8,42.33,
2601,益航,10.45,10.65,
2603,長榮,11.45,11.48,
2605,新興,15.25,15.33,
2606,裕民,29.7,30.36,
2607,榮運,12.9,12.84,
2608,嘉里大榮,37.15,37.31,
2609,陽明,8.44,8.4,
2610,華航,10.05,9.9,
2611,志信,6.79,6.65,
2612,中航,28.35,28.55,
2613,中櫃,11.6,11.77,
2614,東森,13.6,13.76,
2615,萬海,15.3,15.34,
2616,山隆,28.9,28.96,
2617,台航,18.35,18.97,
2618,長榮航,14.65,14.56,
2630,亞航,20.6,19.91,
2633,台灣高鐵,31.85,31.52,
2634,漢翔,29.35,28.84,
2636,台驊投控,24.25,24.75,
2637,慧洋-KY,28.35,28.62,
2642,宅配通,21.4,21.86,
2701,萬企,12.7,12.59,
2702,華園,17.75,17.14,
2704,國賓,22.7,22.55,
2705,六福,5.61,5.66,
2706,第一店,14.0,13.95,
2707,晶華,139.5,138.82,
2712,遠雄來,34.9,33.78,
2722,夏都,--,28.83,
2723,美食-KY,209.0,210.65,
2727,王品,79.2,81.44,
2731,雄獅,83.8,82.5,
2739,寒舍,29.35,29.51,
2748,雲品,61.0,62.73,
2801,彰銀,17.85,17.8,
2809,京城銀,31.65,30.81,
2812,台中銀,10.15,10.25,
2816,旺旺保,18.8,18.66,
2820,華票,13.45,13.46,
2823,中壽,29.3,29.76,
2832,台產,19.9,20.02,
2834,臺企銀,10.45,10.53,
2836,高雄銀,9.12,9.06,
2838,聯邦銀,9.87,9.9,
2841,台開,7.83,7.92,
2845,遠東銀,10.1,10.11,
2849,安泰銀,12.7,12.76,
2850,新產,36.05,36.07,
2851,中再保,17.0,16.96,
2852,第一保,14.65,14.27,
2855,統一證,12.55,12.72,
2867,三商壽,13.2,13.64,
2880,華南金,17.6,17.64,
2881,富邦金,50.1,50.44,
2882,國泰金,49.95,50.23,
2883,開發金,10.0,10.02,
2884,玉山金,20.75,21.03,
2885,元大金,15.35,15.48,
2886,兆豐金,26.25,26.37,
2887,台新金,13.5,13.8,
2888,新光金,10.1,10.24,
2889,國票金,9.87,9.94,
2890,永豐金,10.7,10.61,
2891,中信金,20.5,20.88,
2892,第一金,20.3,20.14,
2897,王道銀行,8.11,8.12,
2901,欣欣,24.25,24.32,
2903,遠百,15.25,15.47,
2904,匯僑,19.85,19.67,
2905,三商,19.35,20.05,
2906,高林,9.88,9.51,
2908,特力,22.2,22.42,
2910,統領,27.2,26.53,
2911,麗嬰房,9.59,9.26,
2912,統一超,319.5,323.71,
2913,農林,17.3,16.79,
2915,潤泰全,81.2,80.36,
2923,鼎固-KY,17.0,17.07,
2929,淘帝-KY,94.4,94.11,
2936,客思達-KY,27.25,28.52,
2939,凱羿-KY,109.0,112.94,
3002,歐格,9.97,10.1,
3003,健和興,38.0,39.6,
3004,豐達科,57.1,57.74,
3005,神基,36.9,37.63,
3006,晶豪科,30.15,30.67,
3008,大立光,3310.0,3248.24,
3010,華立,50.2,50.62,
3011,今皓,7.78,7.36,
3013,晟銘電,14.75,14.57,
3014,聯陽,31.4,31.45,
3015,全漢,18.3,17.99,
3016,嘉晶,43.75,37.44,
3017,奇鋐,21.25,21.41,
3018,同開,27.75,27.81,
3019,亞光,64.4,61.94,
3021,鴻名,13.65,13.41,
3022,威強電,32.4,32.55,
3023,信邦,79.0,84.53,
3024,憶聲,6.15,6.1,
3025,星通,19.45,18.49,
3026,禾伸堂,110.5,106.61,
3027,盛達,8.42,8.28,
3028,增你強,20.5,20.61,
3029,零壹,19.6,19.86,
3030,德律,44.2,44.41,
3031,佰鴻,10.4,10.41,
3032,偉訓,26.6,25.49,
3033,威健,19.0,19.24,
3034,聯詠,126.0,130.97,
3035,智原,36.0,34.11,
3036,文曄,39.6,39.92,
3037,欣興,18.7,17.46,
3038,全台,9.27,9.2,
3040,遠見,31.1,31.25,
3041,揚智,10.3,10.22,
3042,晶技,32.75,32.17,
3043,科風,2.1,2.04,
3044,健鼎,81.1,79.97,
3045,台灣大,110.0,109.5,
3046,建碁,19.65,18.78,
3047,訊舟,9.47,8.7,
3048,益登,12.2,12.4,
3049,和鑫,7.97,7.29,
3050,鈺德,9.5,9.47,
3051,力特,3.08,3.06,
3052,夆典,8.8,8.9,
3054,立萬利,22.7,22.92,
3055,蔚華科,26.95,26.66,
3056,總太,16.35,16.31,
3057,喬鼎,7.99,8.16,
3058,立德,7.21,7.05,
3059,華晶科,24.95,24.62,
3060,銘異,14.7,14.75,
3062,建漢,14.4,13.05,
3090,日電貿,51.6,51.59,
3094,聯傑,15.8,15.87,
3130,一零四,--,154.86,
3149,正達,9.53,9.93,
3164,景岳,26.3,25.31,
3167,大量,42.6,41.41,
3189,景碩,41.0,42.04,
3209,全科,17.25,16.73,
3229,晟鈦,17.5,17.54,
3231,緯創,18.75,18.91,
3257,虹冠電,43.05,41.79,
3266,昇陽,11.0,11.11,
3296,勝德,14.0,13.56,
3305,昇貿,--,19.91,
3308,聯德,6.56,6.64,
3311,閎暉,12.1,12.04,
3312,弘憶股,10.15,10.28,
3321,同泰,10.9,12.02,
3338,泰碩,20.5,20.91,
3346,麗清,35.9,33.88,
3356,奇偶,27.0,21.97,
3376,新日興,79.4,78.99,
3380,明泰,15.4,15.03,
3383,新世紀,1.94,2.05,
3406,玉晶光,196.0,203.29,
3413,京鼎,130.0,118.44,
3416,融程電,50.2,50.35,
3419,譁裕,16.55,15.61,
3432,台端,14.1,13.86,
3437,榮創,16.7,16.56,
3443,創意,164.5,189.29,
3450,聯鈞,62.2,57.12,
3454,晶睿,94.0,93.77,
3481,群創,9.96,9.98,
3494,誠研,6.41,6.45,
3501,維熹,51.5,49.62,
3504,揚明光,73.3,72.13,
3515,華擎,49.65,50.77,
3518,柏騰,16.45,16.69,
3519,綠能,6.82,9.47,
3528,安馳,31.85,32.39,
3530,晶相光,72.2,73.89,
3532,台勝科,120.5,116.97,
3533,嘉澤,174.0,176.21,
3535,晶彩科,14.9,13.08,
3536,誠創,7.2,7.0,
3545,敦泰,23.2,24.12,
3550,聯穎,15.7,15.73,
3557,嘉威,17.2,17.11,
3576,新日光,8.66,7.84,
3579,尚志,8.57,8.94,
3583,辛耘,54.0,54.88,
3588,通嘉,20.6,20.46,
3591,艾笛森,14.05,13.38,
3593,力銘,10.8,10.86,
3596,智易,59.4,56.47,
3605,宏致,21.0,20.23,
3607,谷崧,16.8,15.72,
3617,碩天,79.9,76.2,
3622,洋華,16.45,15.85,
3645,達邁,47.8,48.41,
3653,健策,67.1,65.92,
3661,世芯-KY,73.2,77.65,
3665,貿聯-KY,176.5,180.06,
3669,圓展,17.0,16.79,
3673,TPK-KY,48.7,50.03,
3679,新至陞,54.1,54.84,
3682,亞太電,7.77,6.24,
3686,達能,3.35,3.09,
3694,海華,19.95,20.2,
3698,隆達,17.75,17.31,
3701,大眾控,12.35,11.56,
3702,大聯大,37.0,36.76,
3703,欣陸,14.0,13.67,
3704,合勤控,12.15,11.63,
3705,永信,39.9,39.89,
3706,神達,27.2,26.67,
3708,上緯投控,71.5,70.07,
3711,日月光投控,56.4,59.96,
3712,永崴投控,18.45,18.36,
4104,佳醫,45.05,45.1,
4106,雃博,24.4,24.4,
4108,懷特,17.95,17.91,
4119,旭富,68.0,69.02,
4133,亞諾法,29.85,29.49,
4137,麗豐-KY,221.0,222.88,
4141,龍燈-KY,17.85,18.2,
4142,國光生,20.4,21.2,
4144,康聯-KY,27.25,27.6,
4148,全宇生技-KY,65.0,67.98,
4155,訊映,25.2,25.39,
4164,承業醫,32.2,32.37,
4190,佐登-KY,88.0,85.88,
4306,炎洲,13.0,13.11,
4414,如興,13.55,13.39,
4426,利勤,43.0,43.37,
4438,廣越,104.5,106.74,
4526,東台,17.1,17.46,
4532,瑞智,22.9,23.62,
4536,拓凱,87.2,89.23,
4540,全球傳動,65.6,66.44,
4545,銘鈺,25.15,26.01,
4551,智伸科,93.0,85.22,
4552,力達-KY,55.9,55.73,
4555,氣立,58.2,58.36,
4557,永新-KY,61.8,61.78,
4560,強信-KY,47.15,49.0,
4562,穎漢,37.0,36.0,
4566,時碩工業,45.1,44.12,
4720,德淵,12.9,12.74,
4722,國精化,27.3,27.03,
4725,信昌化,26.0,25.33,
4737,華廣,47.3,47.89,
4739,康普,88.6,89.82,
4746,台耀,37.3,38.81,
4755,三福化,40.0,39.74,
4763,材料-KY,121.0,123.18,
4764,雙鍵,77.3,76.37,
4807,日成-KY,53.4,54.68,
4904,遠傳,74.5,73.22,
4906,正文,20.1,19.75,
4912,聯德控股-KY,150.5,152.18,
4915,致伸,40.6,40.2,
4916,事欣科,29.5,29.19,
4919,新唐,38.25,37.45,
4927,泰鼎-KY,33.1,33.35,
4930,燦星網,10.6,10.58,
4934,太極,5.8,5.33,
4935,茂林-KY,34.5,34.39,
4938,和碩,49.7,51.91,
4942,嘉彰,31.5,30.05,
4943,康控-KY,137.0,131.38,
4952,凌通,30.4,30.35,
4956,光鋐,15.0,15.16,
4958,臻鼎-KY,75.3,72.98,
4960,誠美材,9.66,8.63,
4961,天鈺,37.6,37.33,
4968,立積,43.0,43.28,
4976,佳凌,31.0,30.87,
4977,眾達-KY,68.8,61.44,
4989,榮科,18.15,17.96,
4994,傳奇,41.8,41.34,
4999,鑫禾,46.0,46.44,
5007,三星,51.0,51.08,
5203,訊連,66.5,65.38,
5215,科嘉-KY,26.65,26.76,
5225,東科-KY,26.6,25.81,
5234,達興材料,69.9,68.7,
5243,乙盛-KY,29.2,29.37,
5258,虹堡,15.45,15.79,
5259,清惠,7.6,7.38,
5264,鎧勝-KY,41.6,44.34,
5269,祥碩,447.5,465.97,
5284,jpp-KY,52.9,52.47,
5285,界霖,69.0,69.14,
5288,豐祥-KY,90.3,90.48,
5305,敦南,27.6,27.56,
5388,中磊,60.2,54.35,
5434,崇越,67.7,66.9,
5469,瀚宇博,23.3,23.27,
5471,松翰,28.5,28.27,
5484,慧友,5.38,4.63,
5515,建國,10.25,10.24,
5519,隆大,11.25,10.76,
5521,工信,8.21,7.99,
5522,遠雄,35.95,35.55,
5525,順天,20.6,20.41,
5531,鄉林,10.3,10.21,
5533,皇鼎,16.0,16.17,
5534,長虹,78.3,74.58,
5538,東明-KY,38.15,38.12,
5607,遠雄港,18.9,19.03,
5608,四維航,7.13,7.26,
5706,鳳凰,33.95,33.74,
5871,中租-KY,92.0,93.34,
5876,上海商銀,39.2,39.25,
5880,合庫金,17.75,17.77,
5906,台南-KY,--,12.54,
5907,大洋-KY,31.8,32.48,
6005,群益證,9.11,9.25,
6024,群益期,41.2,41.56,
6108,競國,25.75,26.27,
6112,聚碩,28.95,29.08,
6115,鎰勝,39.85,39.87,
6116,彩晶,7.34,7.1,
6117,迎廣,11.9,11.37,
6120,達運,16.35,16.65,
6128,上福,27.25,27.05,
6133,金橋,8.5,8.43,
6136,富爾特,17.4,17.45,
6139,亞翔,26.0,25.94,
6141,柏承,16.75,15.97,
6142,友勁,8.36,8.11,
6152,百一,4.56,4.44,
6153,嘉聯益,28.0,33.77,
6155,鈞寶,21.35,20.68,
6164,華興,8.4,8.45,
6165,捷泰,7.57,7.54,
6166,凌華,30.2,34.35,
6168,宏齊,12.55,12.56,
6172,互億,17.4,14.53,
6176,瑞儀,76.7,82.06,
6177,達麗,26.0,26.1,
6183,關貿,32.55,32.64,
6184,大豐電,34.15,34.38,
6189,豐藝,28.35,28.11,
