代號,五年均,y18,y17,y16,y15,y14,y13,y12,y11,y10,y09,y08,y07,y06,y05,y04,y03,y02,y01
1714,0.060,0.3,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.52,0.2,0.3,0
1717,1.340,0.5,1.5,1.5,1.8,1.4,1.1,1,1.5,2.2,1.5,1.4,1.2,1.2,0.8,1,1.4,0.5,0.5
1718,0.040,0.1,0,0.1,0,0,0,0,0,0,0,0.83,0,0,0.51,0,0,0,0
1720,1.620,1.6,1.5,1.5,1,2.5,1.16,1,0.5,1.6,1.2,1.25,1.5,1.2,1,1,0.7,0.7,0.5
1721,0.180,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722,2.100,2.1,2.1,2.1,2.2,2,2.7,2.3,2.2,1.4,1.8,3.4,3,2.2,1.7,1,1,0.3,0
1723,6.040,4.6,4.5,4.5,8.3,8.3,7.4,8,7.2,5.6,4.65,5,4.3,4.2,4.5,3.6,2.4,2.1,1.8
1724,0.600,0.6,1,1,0.2,0.2,1,2,0.25,0.19,0.66,0.73,0.86,0.88,0,0.6,0.08,0,0
1725,0.676,0.83,0.8,0.78,0.62,0.35,0,0,0.15,0.25,0,0.18,0.31,0.23,0.3,0.18,0.18,0.2,0.2
1726,3.860,3.5,4,3.8,3.8,4.2,3.5,2.5,2.5,2.5,1.8,2,2.5,2.2,2.5,2,2,2,2
1727,0.540,0.6,0.6,0.5,0.5,0.5,0.4,0.43,0.45,0.29,0.2,0.23,0.22,0.2,0.3,0.3,0.2,0.2,0
1729,#DIV/0!,,,,,,,,,,,,,,,,,,
1730,2.170,2.27,2.18,2,1.7,2.7,1.1,1,1,1,0.5,0.7,0.8,0.75,0.6,0,0.5,0.5,0.45
1731,0.530,0.6,0.55,0.5,0.6,0.4,0.35,0.35,0.45,0.25,0.3,0.25,0.25,0.2,0.4,1,1,0.6,0
1732,0.000,0,0,0,0,0,0,0.4,0.5,0.6,0,0.5,0,0,0,0,0,0,0.5
1733,2.208,1.5,1.5,2.24,2.5,3.3,4.5,4.99,4.2,3.1,1.5,4,2.34,1.96,2,0.88,0.62,0,0
1734,0.420,0.2,0.1,0.2,0.8,0.8,0.6,0.35,0.65,0.55,0.33,0.64,0.5,0.5,0.45,0.3,0.3,0.2,0
1735,0.620,0.5,0.5,1,0.6,0.5,0.6,0.28,0.5,1.1,0,0.4,0.3,0.7,0.6,1.4,1,0.6,1.88
1736,1.190,0.3,1.15,1,1.5,2,1.5,1.95,0.5,0.3,0.3,1,3,2.25,1.5,1,1,0,0
1737,1.124,1.5,1.5,1.12,1,0.5,0.26,0.68,0.6,0.6,0,0.5,1.3,1,3.7,2,16.05,0.11,0.17
1760,0.670,1.5,0.9,0.8,0.15,0,0,0,0,0,,,,,,0,,,
1762,0.800,0.5,0.5,1.5,0.5,1,1.5,1.5,2,2.5,0,,,,,,,,
1773,3.240,4.6,4,3,2.6,2,3,2.6,4,2.5,1.5,3,1,1,2,1,1,,0.5
1776,1.358,1.5,1.6,1.59,1.2,0.9,0.9,0.6,0.9,2,1.5,2,1.5,1.2,1,1.5,4,,
1783,0.030,0.15,0,0,0,0,0,0,0,,,,,,,,,,
1786,0.280,0.2,0,0.5,0,0.7,0,0,0,0,0,,,,,,,,
1789,0.496,0.48,0.3,0.3,0.2,1.2,1.2,1,0.1,,,,,,,,,,
1802,0.120,0.5,0,0,0,0.1,0.1,0.45,0.6,0.2,0.2,0.4,0.24,0.4,0.5,0.4,0.3,1,0.8
1805,0.100,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1806,0.020,0,0,0,0,0.1,0,0.5,1.18,0.5,0.05,0.3,0.11,0,0,0,0,0,0
1808,3.588,3.54,5.07,5.01,4.01,0.31,3,4.73,1.5,0.22,0.2,1,0.5,0,0,0,0,0,0
1809,0.310,0.2,0.3,0.2,0.5,0.35,0.3,0.5,0.5,0.2,0,0.1,0.1,0.2,0,0,0,0,0
1810,0.226,0.3,0,0.2,0.3,0.33,0,0.45,0,0,0,0,0,0,0,0,0,0,0
1817,1.980,2.3,2.2,2,1.8,1.6,1.2,1,,,,,,,,,,,
1902,0.066,0.33,0,0,0,0,0,0.5,0.6,0,0,0,0,0,0,0,0,0,0
1903,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,0.550,0.7,0.5,0.6,0.35,0.6,0.6,0.3,0.6,0.7,0,0.4,0.7,0.5,0.7,0.3,0.3,0,0.3
1905,0.310,0.5,0.35,0.6,0.1,0,0,0,1,0,0.15,1.1,0.6,0.9,0.7,0.5,0.12,0,0.5
1906,0.530,1,1.5,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,0.340,0.6,0,0.3,0.4,0.4,0.4,0.8,0.55,0.6,0,0.4,0.6,0.5,0.55,0.8,0.2,0.1,0.15
1909,1.188,1.75,1.49,1,0.9,0.8,0.4,0,0.71,0.51,0,0,0.3,0.61,0.6,0.3,0.2,0,0
2002,0.786,0.88,0.85,0.5,1,0.7,0.4,1.01,1.99,1.01,1.3,3.5,2.78,3.75,3.9,3,1.4,0.8,1.5
2006,1.340,1.4,1.3,1.1,1.3,1.6,1.3,1.6,1.2,1.02,1.5,3.2,3.1,2.59,1.5,0.7,0,0,0.19
2007,0.000,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
2008,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0.180,0,0,0,0.4,0.5,0,0,1.1,0.6,0,0.9,1.4,0.3,0.6,0.49,0.05,0,0
2010,0.680,0.5,0.7,0.5,0.5,1.2,0.5,0.6,0.6,0.55,0.2,0.3,0.35,1.2,1.5,1,1.5,1,0.63
2012,0.600,0.75,0.75,0.5,0.5,0.5,0,0,0,0,0.6,0.5,0.5,0.5,0,0,0,0,0
2013,0.660,0.24,0.26,0.5,0.8,1.5,2.1,2,1.5,1,0.9,1.2,1.1,0.7,0.3,0.2,0.35,0.8,0.8
2014,0.000,0,0,0,0,0,0,0,0.6,0,0,1.77,0.25,0,0.55,0,0,0,0
2015,2.900,3.5,3,2.5,2.5,3,2.5,3,2.75,2,2,3,3.25,2.75,2.5,1.6,1,0.3,0.5
2017,0.160,0.45,0.35,0,0,0,0,0.25,0,0,0,0,0,0,0.3,0.2,0,0,0
2020,0.706,1.42,0.8,0,0.8,0.51,0.2,0,0.8,0.45,0,2.65,2.7,0.2,2.5,1.5,1.6,0.3,0
2022,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
2023,0.200,0.2,0.4,0,0.2,0.2,0,0.3,0.3,0.3,0.2,0.5,0.7,0.3,1,1.5,0.6,0,0.4
2024,0.500,0.8,0.6,0.3,0.8,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0
2025,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,0.602,0.8,0.5,0.5,0.61,0.6,0.2,1.2,0,0.31,0,3.05,3,1.5,1.8,0.35,0.2,0,0
2028,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,1.500,1.75,2.45,1,1.15,1.15,0.35,1.1,0.35,0.25,1.5,1.8,3,2,4.2,3,2.3,1,1.2
2030,0.360,1,0.3,0,0.5,0,0,0,0,0,0,0.6,1.6,1.38,0.5,0,0.2,0.25,0
2031,1.276,1.98,1.8,0.6,1,1,0.5,1,2,0.6,0.6,1.78,1.46,0.5,1.5,1.25,1,0.2,0.2
2032,0.340,0.1,0.4,0.2,0.25,0.75,0,0.1,0.4,0.2,0,0.5,0.5,0,1.5,0.5,1,0.5,0.7
2033,0.100,0.2,0.3,0,0,0,0.7,0.7,0.8,0,0.4,0.3,0.2,0,0.6,0,0.4,0,0
2034,1.620,1.8,1.8,1,2,1.5,0.7,1.2,1.21,0.5,0.2,1.52,2.99,0,3.2,1,0,0,0.8
